# Kalmasoft Databases
# Database of Transcripted Arabic Names
# References: www.kalmasoft.com/KLEX/dbgivnnm.htm, www.kalmasoft.com/KLEX/dbsurnm.htm
# Created: 19/11/2019
# Updated: 26/11/2019
# Encoding: UTF8
# Delimiter: TAB
# Unique Arabic names: +300K
# Total entries: 1,500,000+
# Supported languages : 5
# Copyright 1999-2019 Kalmasoft www.kalmasoft.com
# Contact: info@kalmasoft.com
# ================================================
# Attributes:
#	ID: Reference ID [A######]
#	Arabic: unvocalized Arabic name
#	Trans: transcription
#	Script: language script name
#		AM: Amharic
#		GR: Greek
#		HE: Hebrew
#		JA: Japanese (Katakana)
#		RU: Russian
#	Gender: M: male, F: female, U: unisex
#	Type: G: given; S: Surname, P: geogrpahic Nisba "place", B: professional Nisba "business", C: tribal Nisba "clan", K: Kunya, N: Nasab.
# =================================================
ID	Arabic	Trans	Script	Gender	Type
A000001	أبو الرب	አቡ አርቤ	AM	M	K
A000002	أبو تاية	አቡታዬ	AM	M	K
A000003	أبو جودة	አቡ ጁዏደ	AM	M	K
A000004	أبو جابر	አቡ ጃቢር	AM	M	K
A000005	أبو حسان	አቡ ሐሥአን	AM	M	K
A000006	أبو حشيش	አቡ ሐሺዬሽ	AM	M	K
A000007	باوزير	በአወዚዬር	AM	M	K
A000008	البناي	አልበነ	AM	M	S
A000009	البنبلي	አልበንበሊ	AM	M	S
A000010	البندري	አልበንደሪ	AM	F	G
A000011	البندي	አልበንዲ	AM	M	S
A000012	البنعلي	አልበንዐሊ	AM	M	S
A000013	البنوت	አልበኑዏት	AM	F	G
A000014	البنوري	አልበኑዏሪ	AM	M	S
A000015	البنون	አልበኑዏን	AM	F	G
A000016	البنوني	አልበኑዏኒ	AM	M	S
A000017	البهاري	አልበሀሪ	AM	F	G
A000018	البهري	አልበህሪ	AM	M	S
A000019	البهلول	አልበህሉዏል	AM	M	S
A000020	البهلول	አልቡህሉዏል	AM	M	S
A000021	البواطنة	አልበዋጢን	AM	M	C
A000022	البواعنة	አልበዋዒን	AM	M	C
A000023	البوالصة	አልበዋሊሠ	AM	M	C
A000024	البوعلي	አልቡዐሊ	AM	M	S
A000025	البياتي	አልቤያቲ	AM	M	S
A000026	البيداء	አልበዬደአ	AM	F	G
A000027	البيش	አልበዬሽ	AM	M	S
A000028	البيضاء	አልበዬዸአ	AM	F	G
A000029	با بريجة	ባ በሪዬጅ	AM	M	K
A000030	با بطين	ባ በጢዬን	AM	M	K
A000031	با بعير	ባ በዒዬር	AM	M	K
